24개 암종별,성별,연령별,2004,2004,2005,2005,2006,2006,2007,2007,2008,2008,2009,2009,2010,2010,2011,2011,2012,2012,2013,2013,2014,2014,2015,2015,2016,2016,2017,2017,2018,2018,2019,2019,2020,2020,2021,2021,2022,2022,2023,2023
24개 암종별,성별,연령별,발생자수 (명),조발생률 (명/10만명),발생자수 (명),조발생률 (명/10만명),발생자수 (명),조발생률 (명/10만명),발생자수 (명),조발생률 (명/10만명),발생자수 (명),조발생률 (명/10만명),발생자수 (명),조발생률 (명/10만명),발생자수 (명),조발생률 (명/10만명),발생자수 (명),조발생률 (명/10만명),발생자수 (명),조발생률 (명/10만명),발생자수 (명),조발생률 (명/10만명),발생자수 (명),조발생률 (명/10만명),발생자수 (명),조발생률 (명/10만명),발생자수 (명),조발생률 (명/10만명),발생자수 (명),조발생률 (명/10만명),발생자수 (명),조발생률 (명/10만명),발생자수 (명),조발생률 (명/10만명),발생자수 (명),조발생률 (명/10만명),발생자수 (명),조발생률 (명/10만명),발생자수 (명),조발생률 (명/10만명),발생자수 (명),조발생률 (명/10만명)
갑상선(C73),여자,20-24세,272,14.1,246,13.3,287,16.5,281,17.2,345,22.3,317,21,400,26.9,450,30,469,30.5,517,32.8,447,27.7,398,24.2,445,26.8,454,27.6,484,29.8,525,32.9,531,34,632,41.6,605,41.7,549,40
갑상선(C73),여자,25-29세,463,24.3,524,27.5,597,30.9,750,38.3,1017,51.5,1191,61.4,1299,70.3,1314,75.2,1346,82,1330,85.3,1041,68.6,869,57.9,1037,68.7,1067,69,1241,78.3,1264,78,1346,81.5,1644,98.7,1633,98.9,1669,102.5
갑상선(C73),여자,30-34세,814,36.6,942,43.3,1179,56.1,1398,68.9,1750,89.4,2064,108.3,2387,125.1,2636,136.2,2855,145.5,2898,146.5,2074,106.7,1698,91.6,1705,97.3,1622,98.4,1749,111.7,1843,121,1786,118.5,2359,155.6,2223,143.1,2476,155.6
갑상선(C73),여자,35-39세,1042,48.8,1261,58.1,1619,73,2065,91.7,2719,121.1,3311,149.1,3573,164.5,3824,182.4,3949,194.8,3596,183.9,2683,141,2158,113.2,2355,121.7,2445,124.6,2713,137.2,2812,144.8,2563,138.3,3023,172.4,2742,166.2,2713,173.1
갑상선(C73),여자,40-44세,1461,67.8,1674,78.9,1965,95.2,2601,128.1,3226,156,3861,181.3,4308,198.9,4899,221.3,5110,227.2,5125,228.7,3697,167,2874,132.7,2994,143.1,2877,142.2,3037,155.7,3105,163.6,3012,158.4,3751,194.4,3667,187.5,3777,191.6
갑상선(C73),여자,45-49세,1520,81.6,1910,97.2,2629,127.5,3432,160.8,4128,191.4,4700,218.9,5005,236.6,5245,254.6,5280,260.5,4906,237.8,3509,165.3,2790,129.3,2889,131,2823,126,3019,135.2,3165,143.6,2845,132,3405,163.5,3272,162.5,3308,170.4
갑상선(C73),여자,50-54세,1085,82.8,1457,103.5,1981,128.9,2764,168.4,3627,208.6,4387,236.6,5080,259.4,5923,288.1,6419,301.5,5876,273.5,4026,188.4,3055,145,2977,145.2,2796,138.6,2970,144.6,3232,153,2959,137.8,3552,161.9,3410,153,3398,153.1
갑상선(C73),여자,55-59세,840,77.3,1065,93.9,1370,116.9,1770,146.4,2373,189.7,2728,209.9,3200,228.7,3996,261.5,4478,274.4,4099,237.2,3105,168.6,2484,127.7,2589,126.8,2596,122.8,2719,127.4,2919,137.5,2528,120.8,2819,138.4,2656,132.5,2677,131.3
갑상선(C73),여자,60-64세,655,61.3,808,76.7,944,91.3,1322,129.6,1593,154.1,2006,187.2,2240,200.2,2596,224.3,2919,244.3,2636,213.2,1805,140.5,1579,114.1,1676,110.9,1779,110.2,1808,105.7,2034,111.6,2024,105.1,2532,125.2,2434,116.3,2418,114.4
갑상선(C73),여자,65-69세,417,46.2,578,62.3,638,67.1,917,91.7,1145,110.2,1383,133,1508,146.9,1587,157.2,1798,180.3,1624,160.4,1209,115.1,951,86.6,1032,90.8,944,80.4,1053,86.5,1033,81.6,1077,79,1403,94.1,1389,87.2,1528,90.5
갑상선(C73),여자,70-74세,207,31.2,260,37.1,331,44.5,424,54.3,604,74.1,780,91.4,786,89.4,966,106.8,1060,111.1,1082,108.9,758,76.1,607,61.6,580,59.7,587,61,666,68,715,70.2,697,65.4,826,74.8,714,62.5,781,66
갑상선(C73),여자,75-79세,108,24.2,145,30.4,151,29.9,176,33,220,39.3,300,50.8,334,53.1,417,62.2,466,65.8,433,58.3,314,40.2,284,35.2,359,43.1,319,36.1,383,41.5,425,45.8,370,40.2,386,42.4,389,43,394,42.7
갑상선(C73),여자,80-84세,37,13.6,50,17.6,43,14.5,82,26.4,93,28.3,91,25.7,125,32.6,125,30.5,154,35.4,130,28.2,108,22,112,21.3,136,24.1,134,22.3,166,26.2,189,28.2,146,20.9,206,28.5,191,24.8,204,25.4
갑상선(C73),여자,85세이상,19,11,35,19.3,28,14.5,28,13.4,51,22.2,39,15.8,35,13.3,53,18.9,52,17.2,57,17.4,54,15.1,52,13.4,56,13.4,58,12.9,77,15.9,71,13.6,59,10.3,83,13.4,82,12.4,87,12.5
갑상선(C73),여자,연령미상,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-
